React,"React, js, 리액트, 리엑트"
Angular,"Angular, js, 앵귤러, 엥귤러"
Vuejs,"Vue, js, 뷰"
jQuery,"jQuery, 제이쿼리"
Emberjs,"Ember, js, 엠버"
Backbonejs,"Backbone, js, 백본"
Semantic-UI,"Semantic, Ui, 시맨틱, 씨맨틱, 시멘틱, 씨멘틱"
Foundation,"Foundation, 파운데이션"
Svelte,"Svelete, 스벨트, 스밸트"
Reactive Native,"Reactive, Native, RN, 리액티브, 네이티브, 알엔"
Flutter,"Flutter, Dart, 플러터"
Ionic,"Ionic, 아이오닉"
Xamarin,"Xamarin, 자마린"
Android,"Android, 안드로이드"
IOS,"Ios, 아이오에스"
Laravel,"Laravel, 라라벨, 라라밸"
Express,"Express, 익스프레스"
Spring,"Spring, 스프링, 스프링부트"
Django,"Django, 장고"
.NET Core,".NET, Core, ASP, 닷넷, 코어"
Ruby on Rails,"Ruby on Rails, ROR, 루비, 레일즈 "
Flask,"Flask, 플라스크"
Meteor,"Meteor, js, 미티어"
Mithril,"Mithril, js, 미스릴, 미쓰릴"
Node.js,"Node, js, 노드"
CakePHP,"Cake, php, 케이크"
CodeIgniter,"Code, Igniter, php, 코드, 이그나이터"
Pheonix,"Pheonix, Elixir, 피닉스"
Symfony,"Symfony, php, 심포니"
Go,"Go, 고"
